INFO:p2p_network:[charlie] P2P Node initialized on 127.0.0.1:9003
INFO:full_node:[charlie] Blockchain initialized - Height: 0
INFO:full_node:[charlie] Restored 6 block(s) from disk - Height: 6
INFO:p2p_network:[charlie] P2P Server listening on 127.0.0.1:9003
INFO:__main__:Starting RPC server on 127.0.0.1:8003
INFO:wsgi_server:Serving with waitress on 127.0.0.1:8003 (threads=16)
INFO:waitress:Serving on http://127.0.0.1:8003
INFO:p2p_network:[charlie] Connected to peer: bob
INFO:p2p_network:[charlie] Connected to peer: alice at 127.0.0.1:9001
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 100
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 101
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 102
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 103
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 104
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 105
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 106
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 107
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 108
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 109
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 110
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 111
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 112
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 113
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 114
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 115
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 116
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 117
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 118
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 119
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 120
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 121
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 122
INFO:full_node:[charlie] Synced -> Height: 123
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 124
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 125
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 126
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 127
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 128
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 129
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 130
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 131
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 132
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 133
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 134
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 135
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 136
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 137
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 138
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 139
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 140
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 141
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 142
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 143
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 144
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 145
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 146
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 147
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 148
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 149
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 150
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 151
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 152
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 153
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 154
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 155
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 156
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 157
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 158
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 159
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 160
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 161
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 162
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 163
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 164
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 165
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 166
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 167
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 168
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 169
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 170
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 171
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 172
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 173
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 174
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 175
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 176
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 177
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 178
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 179
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 180
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 181
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 182
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 183
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 184
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 185
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 186
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 187
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 188
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 189
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 190
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 191
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 192
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 193
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 194
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 195
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 196
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 197
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 198
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 199
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 200
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 201
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 202
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 203
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 204
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 205
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 206
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 207
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 208
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 209
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 210
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 211
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 212
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 213
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 214
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 215
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 216
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 217
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 218
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 219
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 220
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 221
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 222
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 223
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 224
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 225
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 226
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 227
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 228
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 229
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 230
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 231
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 232
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 233
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 234
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 235
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 236
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 237
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 238
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 239
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 240
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 241
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 242
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 243
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 244
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 245
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 246
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 247
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 248
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 249
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 250
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 251
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 252
INFO:full_node:[charlie] Synced -> Height: 253
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 254
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 255
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 256
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 257
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 258
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 259
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 260
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 261
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 262
INFO:full_node:[charlie] Synced -> Height: 263
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 264
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 265
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 266
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 267
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 268
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 269
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 270
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 271
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 272
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 273
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 274
